0,1,2,3,4,5,6
tbl_202689,0,7,28,0,0,0
tbl_188050,0,0,3,0,0,0
tbl_92215,0,0,14,0,0,0
tbl_92255,0,14,21,0,0,0
tbl_92254,7,7,21,0,0,0
tbl_71869,0,0,28,0,0,0
tbl_73051,0,0,28,0,0,0
tbl_72425,0,0,14,0,0,0
tbl_71580,0,0,14,0,0,0
tbl_206854,0,7,28,0,0,0
tbl_206875,0,7,28,0,0,0
tbl_202681,0,7,28,0,0,0
tbl_206827,0,0,21,0,0,0
tbl_197807,0,0,28,0,0,0
tbl_195558,0,7,28,0,0,0
tbl_70005,0,0,28,0,0,0
tbl_71765,0,7,28,0,0,0
tbl_69092,0,0,28,0,0,0
tbl_76072,0,0,7,0,0,0
tbl_44885,0,0,0,36,0,252
tbl_76050,0,0,14,0,0,0
tbl_202590,14,14,49,0,1,1
tbl_72202,14,14,48,0,0,0
tbl_202685,14,14,49,0,0,0
tbl_206857,14,14,49,0,0,0
tbl_93702,0,8,24,0,0,0
tbl_93704,8,38,32,0,0,0
tbl_352657,6,0,0,0,0,0
tbl_202646,14,14,49,0,1,0
tbl_195555,14,14,48,0,0,0
tbl_95023,14,18,41,0,0,0
tbl_92310,0,7,21,0,0,0
tbl_92309,7,7,28,0,0,0
tbl_92187,0,7,21,0,0,0
tbl_92186,7,7,28,0,0,0
tbl_69959,0,0,7,0,0,0
tbl_79794,0,7,21,0,0,0
tbl_79796,7,7,28,0,0,0
tbl_75369,0,0,7,0,0,0
tbl_75992,0,0,7,0,0,0
tbl_92313,0,7,21,0,0,0
tbl_92312,7,7,35,0,0,0
tbl_202688,14,14,49,0,1,0
tbl_92372,0,7,21,0,0,0
tbl_92371,7,7,28,0,0,0
tbl_92348,0,0,7,0,0,0
tbl_92319,0,7,21,0,0,0
tbl_92318,7,7,28,0,0,0
tbl_202683,14,14,56,0,1,0
tbl_69936,0,0,14,0,0,0
tbl_206874,14,14,49,0,0,0
tbl_92214,0,7,21,0,0,0
tbl_92213,7,113,28,0,0,0
tbl_206855,14,14,49,0,0,0
tbl_92282,0,7,21,0,0,0
tbl_195559,14,14,49,0,0,0
tbl_92281,7,7,28,0,0,0
tbl_187583,0,2,3,0,0,0
tbl_187584,1,1,3,0,0,0
tbl_75346,0,0,14,0,0,0
